cell_name,total,ws,bs,ps,ss,ds,rs,width,bbox,pin_access,symmetric,drc,runtime,name
OAI112V4,95.68078518,40,20,8.37,10,10,7.31,8,30,0.16,10,10,0,
IND3D2,95.68372265,40,20,8.37,10,10,7.31,7,20.5,0.16,10,10,0,
INR3D2,95.68372265,40,20,8.37,10,10,7.31,7,14.5,0.16,10,10,0,
IND4D2,95.71584133,40,20,8.41,10,10,7.31,9,35.5,0.16,10,10,0,
ND4D2,95.75937658,40,20,8.45,10,10,7.31,8,32,0.16,10,10,0,
AOI33V4,95.80473928,40,20,8.49,10,10,7.31,12,72,0.15,10,10,0,
CLKAND2V4,95.83452196,39.15,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
CLKOR2V4,95.83452196,39.15,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
AOI32V4,95.96687616,40,20,8.66,10,10,7.31,10,50,0.13,10,10,0,
AOI13V4,95.99957473,40,20,8.69,10,10,7.31,8,30,0.13,10,10,0,
OAI211D2,95.99957473,40,20,8.69,10,10,7.31,8,22,0.13,10,10,0,
OAI22D2,95.99957473,40,20,8.69,10,10,7.31,8,29,0.13,10,10,0,
AOI32D2,96.03855766,40,20,8.73,10,10,7.31,10,30,0.13,10,10,0,
OAI32V4,96.03855766,40,20,8.73,10,10,7.31,10,39,0.13,10,10,0,
GNR3D2,96.07806916,40,20,8.77,10,10,7.31,6,17,0.12,10,10,0,
GNR3MCOD2,96.07806916,40,20,8.77,10,10,7.31,6,17,0.12,10,10,0,
AOI112V4,96.09866582,40,20,8.79,10,10,7.31,8,28,0.12,10,10,0,
OAI31D2,96.09866582,40,20,8.79,10,10,7.31,8,30,0.12,10,10,0,
GNR2D2,96.13207448,40,20,8.82,10,10,7.31,4,8,0.12,10,10,0,
GNR2MCOD2,96.13207448,40,20,8.82,10,10,7.31,4,8,0.12,10,10,0,
NR2D2,96.13207448,40,20,8.82,10,10,7.31,4,8,0.12,10,10,0,
OAI33V4,96.13810271,40,20,8.83,10,10,7.31,12,56,0.12,10,10,0,
OAI32D2,96.16797669,40,20,8.86,10,10,7.31,10,41,0.11,10,10,0,
GBUFFD2,96.18558579,40,19.5,9.38,10,10,7.31,4,5.5,0.06,10,10,0,
GBUFFMCOD2,96.18558579,40,19.5,9.38,10,10,7.31,4,5.5,0.06,10,10,0,
AOI33D2,96.22274847,40,20,8.91,10,10,7.31,12,42,0.11,10,10,0,
IND2D2,96.31058579,40,20,9,10,10,7.31,5,8.5,0.1,10,10,0,
ISOLOD2,96.31058579,40,20,9,10,10,7.31,5,7,0.1,10,10,0,
LVLHLCD2,96.31058579,40,20,9,10,10,7.31,5,7,0.1,10,10,0,
OAI33D2,96.32170199,40,20,9.01,10,10,7.31,12,38,0.1,10,10,0,
CLKINV4,96.38035323,39.07,20,10,10,10,7.31,2,1,0,10,10,0,
CLKBUFV4,96.4216969,39.11,20,10,10,10,7.31,3,2.5,0,10,10,0,
GMUX2MCOD2,96.49435802,40,19.5,9.68,10,10,7.31,10,31.5,0.03,10,10,0,
GND2MCOD2,96.52491158,40,20,9.21,10,10,7.31,6,12,0.08,10,10,0,
AN2D2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
AND2V4,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
GAN2D2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
GAN2MCOD2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
GOR2D2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
GOR2MCOD2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
ISOHID2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
LVLHLCLOD2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
OR2D2,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
OR2V4,96.68558579,40,20,9.38,10,10,7.31,4,3.5,0.06,10,10,0,
BUFFD2,97.31058579,40,20,10,10,10,7.31,3,2.5,0,10,10,0,
BUFV4,97.31058579,40,20,10,10,10,7.31,3,2.5,0,10,10,0,
CKBD2,97.31058579,40,20,10,10,10,7.31,3,2.5,0,10,10,0,
GINVD2,97.31058579,40,20,10,10,10,7.31,2,1,0,10,10,0,
INV4,97.31058579,40,20,10,10,10,7.31,2,1,0,10,10,0,
INVD2,97.31058579,40,20,10,10,10,7.31,2,1,0,10,10,0,
LVLHLD2,97.31058579,40,20,10,10,10,7.31,3,2.5,0,10,10,0,
,81.48573263,,,,,,,,,,,,,
