cell name,mos_num,score,width,bbox,pin_access,symmetric,drc,runtime
DFSND2,36,84.43853034,33.24675325,17.16666667,8.716450235,8,10,7.308660192
DFNSND2,36,85.77187624,33.24675325,18.5,8.716450235,8,10,7.308672764
SDGRNQNV4,36,91.4946187,36,20,8.18611696,10,10,7.308501736
DFKCSND2,36,93.02420264,37,20,8.715427688,10,10,7.308774956
MUX4D2,36,95.63078506,39.02439024,20,9.297619881,10,10,7.308774932
XOR4D2,37,88.07990498,32.63157895,20,9.139767473,9,10,7.308558562
SDFQD2,38,78.87987262,30.52631579,16.16666667,8.878648017,6,10,7.308242146
SDFKCNQARD2,38,89.76521753,33.58024691,20,8.876526252,10,10,7.30844436
SDRNQV4,38,91.30996237,36.09756098,20,7.903908399,10,10,7.308492991
SDRQV4,38,91.923579,35.6626506,20,8.952435387,10,10,7.308493014
SNDRNQV4,38,91.92993323,36.09756098,20,8.523894012,10,10,7.308478238
SDRQNV4,38,92.54255203,36.62650602,20,8.607560095,10,10,7.308485909
SDSNQV4,38,93.17910796,37.59036145,20,8.280285764,10,10,7.308460754
SDRNQNV4,38,93.28821801,37.07317073,20,8.906477793,10,10,7.308569489
SDSNQNV4,38,93.30124012,37.59036145,20,8.402400407,10,10,7.308478264
EDRNQNV4,40,43.8615935,34.82352941,17,8.405931154,10,10,7.308341635
SDFSYNQND2,40,52.643829,36.27906977,20,7.544357859,10,10,7.308255843
SDFSYNQD2,40,55.46538405,36.27906977,20,7.544357859,10,10,7.308301745
SDGRSNQNV4,40,55.48687624,35.23809524,20,8.607343929,10,10,7.308136717
EDFD2,41,58.10715942,21.72839506,-6.5,8.327623194,3,10,7.305575243
EDFCNQD2,42,60.87296502,25.74712644,1,8.591565863,0,10,7.305136697
SDFCNOPTBD2,42,66.12442433,25,5.833333333,9.329955,-2,10,7.302095716
SDFSNQD2,42,66.99944226,30.24390244,20,9.456377434,6,10,7.307731797
SDFKCNQD2,42,67.06799833,32.19512195,20,8.621587936,8,10,7.307894084
SDFKCNARD2,42,67.22761675,33.88235294,20,8.992854764,10,10,7.308086443
SDSRNQV4,42,67.55059289,35.86206897,20,8.861242472,10,10,7.307986959
SNDSRNQV4,42,68.00854974,36.7816092,20,8.880348324,10,10,7.307971137
FA1OPTCD2,42,68.02473871,39.02439024,20,8.844703179,10,10,7.307926872
SDFQOPTBD2,43,69.41845757,30.84337349,16.5,9.096774194,5,10,7.307081916
EDFCND2,44,71.61919984,27.25274725,2.166666667,8.763573698,0,10,7.303888622
SDFSYNSNQD2,44,72.32134762,35.55555556,20,8.248237219,10,10,7.307729039
SDFSYND2,44,73.15033858,35.55555556,20,9.041093783,10,10,7.30785528
SDFNSYND2,44,73.91833163,36.44444444,20,8.391265439,10,10,7.307981519
DFNCND2,45,74.85457716,31.60493827,12.33333333,9.002977083,7,10,7.307230048
DFCND2,45,74.87504411,32.59259259,15.33333333,9.056965505,7,10,7.307021794
SDFSYNCNQD2,45,75.1913079,35.16483516,20,8.754125782,9,10,7.307480369
SDFCNQOPTBD2,46,75.65073011,25.2173913,8.5,9.086882249,-2,10,7.302885871
SDFCNQARD2,46,76.51231334,30.11764706,20,9.067364378,6,10,7.306909196
SDFSND2,46,77.24847874,30.69767442,20,8.751339867,6,10,7.306989546
SDFNSND2,46,78.61892168,31.62790698,20,9.162202711,6,10,7.306873116
SDFKCND2,46,78.65258876,31.62790698,20,8.828414388,8,10,7.307313127
DFMD2,48,78.7472296,26.02409639,20,8.587970553,2,10,7.306264689
DFNCSND2,48,79.55476345,32.55813953,7.833333333,9.15634214,8,10,7.306762151
SDFKSNQD2,48,80.30533789,28.8372093,20,8.4752607,4,10,7.306451675
SDFD2,48,80.37113998,27.65432099,20,8.593772142,6,10,7.306670316
SDFND2,48,81.28991323,28.64197531,20,8.356896713,6,10,7.306465866
DFCSND2,48,81.83313271,31.62790698,16.33333333,9.206963904,8,10,7.306277808
SDFNSYNSND2,48,82.02589508,35.74468085,20,8.798368854,10,10,7.307106519
SEDRNQNV4,48,82.47448202,36.21052632,20,8.833344959,10,10,7.307121299
SDFSYNSND2,48,82.49192063,36.59574468,20,9.254794395,10,10,7.307134966
SDFKCSNQD2,49,82.73538636,29.09090909,20,8.973881469,5,10,7.306349423
SDFMQD2,49,82.75600383,32,20,8.155403164,9,10,7.306426769
SDFCNARD2,50,83.00801167,29.66292135,20,8.863852667,6,10,7.306358692
SDFCSND2,50,84.0969828,30.22222222,20,9.206880293,6,10,7.306283845
SDFNCSND2,50,84.62313696,32,20,9.316844936,6,10,7.306292021
SDFSYNCSNQD2,50,85.76363449,34.04255319,20,8.835848815,8,10,7.30649541
SDFNSYNCND2,51,86.12460397,32.84210526,20,9.115207646,7,10,7.306373453
SDFSYNCND2,51,86.26368636,34.52631579,20,8.931252324,7,10,7.306354344
SEDFQARD2,52,86.46182993,30.76923077,15,9.437542869,4,10,7.305539701
SDFKSND2,52,87.30605103,28.44444444,20,8.90263193,4,10,7.305512387
FA1OPTSD2,52,87.5378022,39.14893617,14.83333333,7.465166149,10,10,7.306636995
SEDFQD2,53,87.76392246,27.52688172,5.333333333,8.708214292,2,10,7.304535675
SDFKCSND2,53,87.7709047,30.43478261,20,9.285562928,5,10,7.305549544
SDFMD2,53,87.98782318,32.34042553,20,8.659804183,9,10,7.305821316
SEDFARD2,54,88.18489742,24.94623656,13.83333333,9.041795158,1,10,7.303059283
SEDFCNQD2,54,88.75407265,26.37362637,12.5,8.820963007,2,10,7.304852877
SDFOPTBD2,54,90.18329415,25.74712644,20,8.098410644,2,10,7.304801494
SDFCNQD2,56,90.22644132,25.11627907,11.33333333,9.313892915,4,10,7.304493015
DFCNQD2,56,91.11152181,29.09090909,5.666666667,8.162716395,7,10,7.307324601
DFMQD2,58,91.13168347,26.31578947,10.83333333,9.09396239,4,10,7.307507697
SDFCSNQD2,58,91.13172937,24.88888889,19.33333333,9.348855592,4,10,7.303966294
SEDFCND2,58,91.15357588,26.94736842,20,9.399302956,2,10,7.304058734
DFND2,60,91.85015622,30.27027027,5.333333333,8.096250974,7,10,7.308695161
SDFNCND2,60,91.90450462,24,18,9.018386266,4,10,7.30296135
SDFCND2,60,92.0312984,24.88888889,20,8.998474023,4,10,7.303944984
SDFNSYNCSND2,60,92.1436914,31.02040816,20,9.445835074,10,10,7.304661465
SDFSYNCSND2,60,92.35099257,31.83673469,20,8.846265141,10,10,7.304823346
SEDFD2,63,92.96992866,25,20,8.722472811,-3,10,7.302265901
DFCSNQD2,64,93.15767404,29.26829268,5.5,9.342867037,8,10,7.307297845
SDFQND2,65,95.17702029,27.01298701,12.16666667,9.132024255,6,10,7.307521906
,86.62689069,89.51211991,,,,,,
